"Years","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1106676","1126647","1138273","1144597","1146369","1156399","1171832","1189434","1203289","1217213","1227223","1232531","1236093","1240564","1247620","1257613","1263027","1263877","1265232",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842242","845850","848877","851115","848979","844034","839372","833484","826626","820839","814369","804605","794452","782419","772625","761732","751883","743234","735193",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194914","196038","196946","198045","199631","201988","203729","205155","206116","206213","205525","204806","204174","203341","203450","203765","203633","203576","203616",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114503","114625","113822","111403","109756","107187","105651","104126","102257","102098","101267","103904","107620","111940","115727","119103","121675","125072","127494",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3654880","3714439","3774624","3820876","3890734","3968178","4022912","4031098","4018372","3997283","3997518","3999176","4007836","4022099","4053122","4101889","4159329","4201113","4229071",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2176576","2215390","2249784","2278710","2308855","2353604","2406014","2456249","2479097","2485781","2489381","2485905","2483675","2482541","2487602","2496962","2507728","2509957","2505531",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295352","294133","293600","294519","298103","298497","299313","300207","301094","302796","303874","305902","307396","308745","307902","308183","307485","305575","303413",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"370430","373145","375986","379241","384692","394651","404753","415024","422347","426076","429232","428805","427844","428768","431073","433692","438261","443445","446972",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3244944","3243617","3238362","3225547","3211599","3197318","3181246","3170134","3153401","3138406","3123195","3092397","3059460","3024907","2992550","2962043","2929825","2895256","2857131",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1574989","1579527","1580814","1582560","1586281","1593898","1603107","1609494","1611494","1609704","1606170","1598460","1589836","1586139","1582125","1578278","1575825","1572675","1568130",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"733337","728601","723685","720102","718708","718488","721703","723632","725658","726969","728234","726302","724830","726454","728822","730013","731080","732009","730767",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"713887","710923","709416","707847","705456","704689","705277","711005","714689","721841","727489","726569","726397","724263","722375","720719","716983","712035","705961",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"994984","994105","995251","998485","998459","1004020","1011295","1016288","1022001","1021710","1023476","1021826","1018553","1017239","1014821","1012887","1012184","1011177","1008829",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1217670","1204187","1194819","1188070","1182731","1177954","1078779","1096642","1108728","1114228","1117830","1116168","1113929","1112426","1113733","1114942","1113728","1106368","1095916",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"301407","300088","298595","296786","294791","292039","288945","286185","282204","277946","273398","269118","265107","262027","259695","256439","254618","252696","250404",,
